date,open,high,low,close,volume,p_change,v_change
2012-07-19,1373.01001,1380.390015,1371.209961,1376.51001,4043360000,0.0027171,0.110011173
2012-07-20,1376.51001,1376.51001,1362.189941,1362.660034,3925020000,-0.01006166,-0.029267738
2012-07-23,1362.339966,1362.339966,1337.560059,1350.52002,3717180000,-0.008909056,-0.052952596
2012-07-24,1350.52002,1351.530029,1329.23999,1338.310059,3891290000,-0.009040933,0.046839271
2012-07-25,1338.349976,1343.97998,1331.5,1337.890015,3719170000,-0.000313861,-0.044232118
2012-07-26,1338.170044,1363.130005,1338.170044,1360.02002,4429300000,0.016540975,0.190937763
2012-07-27,1360.050049,1389.189941,1360.050049,1385.969971,4399010000,0.019080565,-0.006838552
2012-07-30,1385.939941,1391.73999,1381.369995,1385.300049,3212060000,-0.00048336,-0.269822074
2012-07-31,1385.27002,1387.160034,1379.170044,1379.319946,3821570000,-0.004316829,0.189756729
2012-08-01,1379.319946,1385.030029,1373.349976,1375.319946,4440920000,-0.00289998,0.162066899
2012-08-02,1375.130005,1375.130005,1354.650024,1365,4193740000,-0.007503669,-0.055659638
2012-08-03,1365.449951,1394.160034,1365.449951,1390.98999,3751170000,0.019040286,-0.105531101
2012-08-06,1391.040039,1399.630005,1391.040039,1394.22998,3122050000,0.002329269,-0.167713007
2012-08-07,1394.459961,1407.140015,1394.459961,1401.349976,3682490000,0.005106759,0.179510258
2012-08-08,1401.22998,1404.140015,1396.130005,1402.219971,3221790000,0.000620826,-0.125105567
2012-08-09,1402.26001,1405.949951,1398.800049,1402.800049,3119610000,0.000413685,-0.031715289
2012-08-10,1402.579956,1405.97998,1395.619995,1405.869995,2767980000,0.002188442,-0.112716013
2012-08-13,1405.869995,1405.869995,1397.319946,1404.109985,2499990000,-0.001251901,-0.096817896
2012-08-14,1404.359985,1410.030029,1400.599976,1403.930054,2930900000,-0.000128146,0.172364689
2012-08-15,1403.890015,1407.72998,1401.829956,1405.530029,2655750000,0.00113964,-0.093879013
2012-08-16,1405.569946,1417.439941,1404.150024,1415.51001,3114100000,0.007100511,0.172587781
2012-08-17,1415.839966,1418.709961,1414.670044,1418.160034,2922990000,0.001872134,-0.061369256
